Participant ID,Condition,Key Pressed,Press Time (s),Release Time (s),Hold Time (s),Flight Time (s),Word Completion Time (s),Typing Speed (Keys/sec),Error Rate (%)
3,1,p,1742183249,1742183249,0.0569,,18.9364,2.38,0
3,1,n,1742183253,1742183253,0.0677,3.9534,18.9364,2.38,0
3,1,e,1742183253,1742183253,0.0929,0.1725,18.9364,2.38,0
3,1,u,1742183253,1742183253,0.0843,0.2014,18.9364,2.38,0
3,1,m,1742183253,1742183253,0.0755,0.3208,18.9364,2.38,0
3,1,o,1742183253,1742183254,0.1208,0.2919,18.9364,2.38,0
3,1,n,1742183254,1742183255,0.1039,1.076,18.9364,2.38,0
3,1,o,1742183255,1742183255,0.1181,0.3228,18.9364,2.38,0
3,1,u,1742183255,1742183255,0.0986,0.4182,18.9364,2.38,0
3,1,l,1742183255,1742183256,0.0994,0.5543,18.9364,2.38,0
3,1,t,1742183256,1742183256,0.1027,0.3127,18.9364,2.38,0
3,1,r,1742183256,1742183256,0.1201,0.3291,18.9364,2.38,0
3,1,a,1742183256,1742183256,0.1646,0.3088,18.9364,2.38,0
3,1,m,1742183256,1742183257,0.0843,0.5877,18.9364,2.38,0
3,1,i,1742183257,1742183257,0.1111,0.403,18.9364,2.38,0
3,1,c,1742183257,1742183257,0.0953,0.3154,18.9364,2.38,0
3,1,r,1742183257,1742183257,0.0985,0.501,18.9364,2.38,0
3,1,o,1742183258,1742183258,0.1193,0.5177,18.9364,2.38,0
3,1,s,1742183258,1742183258,0.1106,0.4857,18.9364,2.38,0
3,1,c,1742183258,1742183258,0.0702,0.2912,18.9364,2.38,0
3,1,o,1742183259,1742183259,0.1047,0.2372,18.9364,2.38,0
3,1,p,1742183259,1742183259,0.0846,0.561,18.9364,2.38,0
3,1,i,1742183259,1742183259,0.1337,0.3292,18.9364,2.38,0
3,1,c,1742183259,1742183259,0.0917,0.3014,18.9364,2.38,0
3,1,s,1742183260,1742183260,0.0982,0.2809,18.9364,2.38,0
3,1,i,1742183261,1742183261,0.1261,1.9012,18.9364,2.38,0
3,1,l,1742183262,1742183262,0.0785,0.6577,18.9364,2.38,0
3,1,i,1742183262,1742183262,0.0926,0.2437,18.9364,2.38,0
3,1,c,1742183262,1742183263,0.0953,0.4566,18.9364,2.38,0
3,1,o,1742183263,1742183263,0.1313,0.3116,18.9364,2.38,0
3,1,v,1742183264,1742183264,0.0691,0.9478,18.9364,2.38,0
3,1,o,1742183264,1742183264,0.0894,0.3175,18.9364,2.38,0
3,1,l,1742183264,1742183264,0.0927,0.305,18.9364,2.38,0
3,1,c,1742183264,1742183264,0.0924,0.2713,18.9364,2.38,0
3,1,a,1742183264,1742183264,0.1238,0.2794,18.9364,2.38,0
3,1,n,1742183265,1742183265,0.0879,0.5317,18.9364,2.38,0
3,1,o,1742183265,1742183265,0.1098,0.3069,18.9364,2.38,0
3,1,c,1742183266,1742183266,0.0891,0.8236,18.9364,2.38,0
3,1,o,1742183266,1742183266,0.1367,0.3794,18.9364,2.38,0
3,1,n,1742183267,1742183267,0.1415,1.1582,18.9364,2.38,0
3,1,i,1742183267,1742183267,0.0755,0.3131,18.9364,2.38,0
3,1,o,1742183267,1742183267,0.127,0.3088,18.9364,2.38,0
3,1,s,1742183268,1742183268,0.0995,0.2945,18.9364,2.38,0
3,1,i,1742183268,1742183268,0.0746,0.2089,18.9364,2.38,0
4,0,p,1742183290,1742183290,0.1136,0.1136,22.9828,1.96,86.67
4,0,n,1742183290,1742183290,0.0872,0.1792,22.9828,1.96,86.67
